규격정제,No,접수일자,접수번호,상태,상호,담당자,사용자,제품명,모델ㆍ규격,수입국,연간수입예정량,HSK No,구분,사용여부,대리인,저장일자,소속,등록(등록),등록(면제),기존(등록),기존(면제),신규(등록),신규(면제),유독물질,허가물질,제한물질,금지물질,사고대비물질,유독물질,허가물질,제한물질,금지물질,사고대비물질
241-005-0087,4,2024-02-19,42402150082,승인,영인과학(주),최윤형,한주현,Helium Carrier Gas Cartridges 99.5% - 5 Pack 13L,"241-005-0087, 99.5% 13L 5pack",United States,10,2804.29-1000,WEB,Y,,2024-02-15,,,,O,,,,,,,,,,,,,
431-021-0006,5,2024-02-19,42402150075,승인,영인과학(주),최윤형,한주현,Helium Carrier Gas Cartridge 99.5% - Each 13L,"431-021-0006, 99.5% 13L",United States,15,2804.29-1000,WEB,Y,,2024-02-15,,,,O,,,,,,,,,,,,,
241-005-0110,6,2024-02-07,42402070167,승인,영인과학(주),최윤형,한주현,Methanol,"Sample Prep Kit, 241-005-0110, 20ample 2ml",United States,1,2903.12-0000,WEB,Y,,2024-02-07,,,,O,,,,O,,,,O,,,,,
241-005-0110,7,2024-02-06,42402060084,승인,영인과학(주),최윤형,한주현,Methanol,"Sample Prep Kit, 241-005-0110, 20ample 2ml",United States,1,2903.12-0000,WEB,Y,,2024-02-06,,,,O,,,,O,,,,O,,,,,
CTRCPE,9,2022-03-08,42203070086,승인,영인과학(주),민준희,한주현,CPE - Internal Control (Ref CTRCPE),4 x 160 μL,Italy,0.192,3002.90-1000,WEB,Y,,2022-03-07,,,,,O,,,,,,,,,,,,
ABXDifftrol,10,2021-12-02,42112020114,승인,영인과학(주),민준희,한주현,ABX Difftrol,ABX Difftrol,France,2,3002.90-1000,WEB,Y,,2021-12-02,,,,,O,,,,,,,,,,,,
PY1-4940,11,2021-12-01,42112010346,승인,영인과학(주),이혜민,한주현,MPs-CaCO3,"PY1-4940, MPs-CaCO3 (1 g), Diluent CaCO3 (3 g)",Japan,1,2836.50-0000,WEB,Y,,2021-12-01,,,,O,,,,,,,,,,,,,
PY1-4940,12,2021-12-01,42112010348,승인,영인과학(주),이혜민,한주현,MPs-SiO2,"PY1-4940, MPs-SiO2 (1 g), Diluent SiO2 (3 g)",Japan,1,2811.22-0000,WEB,Y,,2021-12-01,,,,O,,,,,,,,,,,,,
PY1-4908,13,2021-11-24,42111240139,승인,영인과학(주),이혜민,한주현,"(polystyrene solution for pyrolyzer performance check,P/N: PY1-4908)","PY1-4908, Polystyrene 2.5mg film, Me-stearate 5 wt% , in 2ml glass bottle.",Japan,0.1,3903.90-1000,WEB,Y,,2021-11-24,,,,O,,,,,,,,,,,,,
9506,17,2021-11-12,42111120012,승인,영인과학(주),민준희,한주현,"Matrix Plus Chemistry Reference, Level F; Product No. 9506","Matrix Plus Chemistry Reference, Level F (1 X 15 mL)",United States,1.5,3002.90-1000,WEB,Y,,2021-11-12,,,,,O,,,,,,,,,,,,
9556,18,2021-11-12,42111120015,승인,영인과학(주),민준희,한주현,"Matrix Plus Cholesterol Reference, Level F; Product No. 9556","Matrix Plus Cholesterol Reference, Level F (1 X 15 mL)",United States,1.5,3002.90-1000,WEB,Y,,2021-11-12,,,,,O,,,,,,,,,,,,
9500,19,2021-11-12,42111120011,승인,영인과학(주),민준희,한주현,Matrix Plus Chemistry Reference; Product No. 9500,Matrix Plus Chemistry Reference (5 X 15 mL),United States,1.5,3002.90-1000,WEB,Y,,2021-11-12,,,,,O,,,,,,,,,,,,
9670,20,2021-11-12,42111120019,승인,영인과학(주),민준희,한주현,Ethanol Standard; Product No. 9670,Ethanol Standard (6 X 5 mL),United States,1.5,3002.90-1000,WEB,Y,,2021-11-12,,,,,O,,,,,,,,,,,,
9560,21,2021-11-12,42111120018,승인,영인과학(주),민준희,한주현,HDL Cholesterol Verifier; Product No. 9560,HDL Cholesterol Verifier (6 X 5 mL),United States,1.5,3002.90-1000,WEB,Y,,2021-11-12,,,,,O,,,,,,,,,,,,
9550,22,2021-11-12,42111120013,승인,영인과학(주),민준희,한주현,Matrix Plus Cholesterol Reference; Product No. 9550,Matrix Plus Cholesterol Reference (5 X 15 mL),United States,1.5,3002.90-1000,WEB,Y,,2021-11-12,,,,,O,,,,,,,,,,,,
9459,23,2021-11-12,42111120007,승인,영인과학(주),민준희,한주현,BR2 Bilirubin Calibrator; Product No. 9459,BR2 Bilirubin Calibrator (2 X 5 mL),United States,1.5,3002.90-1000,WEB,Y,,2021-11-12,,,,,O,,,,,,,,,,,,
9460,24,2021-11-12,42111120008,승인,영인과학(주),민준희,한주현,Total Protein / Albumin Standard; Product No. 9460,Total Protein / Albumin Standard (5 X 15 mL),United States,1.5,3002.90-1000,WEB,Y,,2021-11-12,,,,,O,,,,,,,,,,,,
9466,25,2021-11-12,42111120009,승인,영인과학(주),민준희,한주현,"Total Protein / Albumin Standard, Level F; Product No. 9466","Total Protein / Albumin Standard, Level F (1 X 15 mL)",United States,1.5,3002.90-1000,WEB,Y,,2021-11-12,,,,,O,,,,,,,,,,,,
9480,26,2021-11-12,42111120010,승인,영인과학(주),민준희,한주현,Microprotein Standard; Product No. 9480,Microprotein Standard (5 X 15 mL),United States,1.5,3002.90-1000,WEB,Y,,2021-11-12,,,,,O,,,,,,,,,,,,
9450,27,2021-11-12,42111120004,승인,영인과학(주),민준희,한주현,Bilirubin Standard; Product No. 9450,Bilirubin Standard (10 X 5 mL),United States,1.5,3002.90-1000,WEB,Y,,2021-11-12,,,,,O,,,,,,,,,,,,
